Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
609	-11601.005721034708	-11476.686425307878	-124.31929572682965	-11476.686425307878	68.95552645589922	409.15781783925286	0.30524797557279765	0.1994351022496424	0.2505417116196946	0.24477521055786539	0.06006205983740533	2.292874598058597	0.33549042068629736	0.06006205983740533	2.9160204408939965	0.33549042068629736	1.6435771227925683E-4	77.69413541055314	-97.34544838995556	0.7374185817667761	
610	-11601.005721034708	-11476.686425307878	-124.31929572682965	-11476.686425307878	68.95552645589922	409.15781783925286	0.30524797557279765	0.1994351022496424	0.2505417116196946	0.24477521055786539	0.06006205983740533	2.292874598058597	0.33549042068629736	0.06006205983740533	2.9160204408939965	0.33549042068629736	1.6435771227925683E-4	77.69413541055314	-97.34544838995556	0.7374185817667761	
611	-11604.878292595056	-11476.66330525698	-128.21498733807655	-11476.66330525698	73.71595312784082	449.70279318973564	0.305801488007381	0.20063917324314434	0.25271039557214203	0.24084894317733263	0.13591128716620549	2.078697788462043	0.3914627019626277	0.13591128716620549	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	106.390526224936	-100.92680324468185	0.7374185817667761	
612	-11607.575952055286	-11476.646928488206	-130.92902356707899	-11476.646928488206	81.25846894800891	516.4049199762709	0.3025492605775568	0.19860324561712214	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	82.29359499853338	-102.78877023347661	0.8322331399742489	
613	-11607.575952055286	-11476.646928488206	-130.92902356707899	-11476.646928488206	81.25846894800891	516.4049199762709	0.3025492605775568	0.19860324561712214	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	82.29359499853338	-102.78877023347661	0.8322331399742489	
614	-11607.575952055286	-11476.646928488206	-130.92902356707899	-11476.646928488206	81.25846894800891	516.4049199762709	0.3025492605775568	0.19860324561712214	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	82.29359499853338	-102.78877023347661	0.8322331399742489	
615	-11607.575952055286	-11476.646928488206	-130.92902356707899	-11476.646928488206	81.25846894800891	516.4049199762709	0.3025492605775568	0.19860324561712214	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	82.29359499853338	-102.78877023347661	0.8322331399742489	
616	-11604.157061146198	-11476.643882209588	-127.51317893661022	-11476.643882209588	72.21056026972839	468.3087986793418	0.305801488007381	0.19645347067172636	0.253593784200721	0.24415125712017166	0.11694975260849896	2.292874598058597	0.27860272791520374	0.11694975260849896	2.9160204408939965	0.27860272791520374	1.6435771227925683E-4	79.22450157209798	-100.51982576265803	0.7374185817667761	
617	-11604.157061146198	-11476.643882209588	-127.51317893661022	-11476.643882209588	72.21056026972839	468.3087986793418	0.305801488007381	0.19645347067172636	0.253593784200721	0.24415125712017166	0.11694975260849896	2.292874598058597	0.27860272791520374	0.11694975260849896	2.9160204408939965	0.27860272791520374	1.6435771227925683E-4	79.22450157209798	-100.51982576265803	0.7374185817667761	
618	-11602.97251778651	-11476.618930883922	-126.35358690258798	-11476.618930883922	65.50416449544558	422.59560003457295	0.3060568059658932	0.2035066330338366	0.2534332761911815	0.23700328480908872	0.06403975749449033	2.078697788462043	0.3914627019626277	0.06403975749449033	3.0102972926237204	0.3914627019626277	1.6435771227925683E-4	82.46614618468507	-99.3201314830495	0.7374185817667761	
