Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate	
67	-3533.8148344994297	-3434.9155952127326	-98.89923928669737	-3434.9155952127326	74.22961523388707	356.34498486434046	3.1557630339806576E-4	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.6448290588346599	33.6441588091261	-95.38339983232756	1.0	
68	-3532.089363688292	-3434.9005448473886	-97.18881884090331	-3434.9005448473886	58.55539105345901	330.8672645679537	2.8428829705568176E-4	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.6448290588346599	64.63843834226198	-93.02000958629138	1.0	
69	-3532.089363688292	-3434.9005448473886	-97.18881884090331	-3434.9005448473886	58.55539105345901	330.8672645679537	2.8428829705568176E-4	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.6448290588346599	64.63843834226198	-93.02000958629138	1.0	
70	-3532.089363688292	-3434.9005448473886	-97.18881884090331	-3434.9005448473886	58.55539105345901	330.8672645679537	2.8428829705568176E-4	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.6448290588346599	64.63843834226198	-93.02000958629138	1.0	
71	-3537.314589725223	-3434.6507199532957	-102.66386977192712	-3434.6507199532957	101.98087016689836	453.70265821191254	2.074583072125209E-4	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.7222778572704517	42.96500599396914	-98.90348380165376	1.0	
72	-3537.314589725223	-3434.6507199532957	-102.66386977192712	-3434.6507199532957	101.98087016689836	453.70265821191254	2.074583072125209E-4	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.7222778572704517	42.96500599396914	-98.90348380165376	1.0	
73	-3537.314589725223	-3434.6507199532957	-102.66386977192712	-3434.6507199532957	101.98087016689836	453.70265821191254	2.074583072125209E-4	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.7222778572704517	42.96500599396914	-98.90348380165376	1.0	
74	-3537.314589725223	-3434.6507199532957	-102.66386977192712	-3434.6507199532957	101.98087016689836	453.70265821191254	2.074583072125209E-4	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.0609481060441529	2.2966384040196135	0.6424134899362341	0.7222778572704517	42.96500599396914	-98.90348380165376	1.0	
75	-3532.824791890674	-3434.645366847187	-98.17942504348741	-3434.645366847187	87.15255796662684	383.6483977370142	2.8613842195446336E-4	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.8480267032096531	62.541826184554054	-94.04358949161934	1.0	
76	-3532.824791890674	-3434.645366847187	-98.17942504348741	-3434.645366847187	87.15255796662684	383.6483977370142	2.8613842195446336E-4	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.8480267032096531	62.541826184554054	-94.04358949161934	1.0	
77	-3532.824791890674	-3434.645366847187	-98.17942504348741	-3434.645366847187	87.15255796662684	383.6483977370142	2.8613842195446336E-4	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.8480267032096531	62.541826184554054	-94.04358949161934	1.0	
78	-3534.1640028451934	-3434.6181605178303	-99.54584232736319	-3434.6181605178303	97.30048031668483	439.05368586060234	2.0085753871849167E-4	0.1704492109928405	2.1728474136303135	0.6567033753768458	0.1704492109928405	2.1728474136303135	0.6567033753768458	0.6448290588346599	54.026344466211725	-95.55637053927875	1.0	
79	-3527.0086316260313	-3434.604796167212	-92.40383545881917	-3434.604796167212	88.73354441263719	354.8530117365642	2.408106498724753E-4	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.6448290588346599	40.82614562402369	-88.69451275853093	1.0	
80	-3527.0086316260313	-3434.604796167212	-92.40383545881917	-3434.604796167212	88.73354441263719	354.8530117365642	2.408106498724753E-4	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.07611440818601267	2.4508918756562914	0.47299371615769653	0.6448290588346599	40.82614562402369	-88.69451275853093	1.0	
81	-3545.080727559811	-3434.5821166209444	-110.49861093886645	-3434.5821166209444	153.40124082726615	694.0553806129385	1.5126219489971878E-4	0.122519223051461	2.2505341607538285	0.6269466161947101	0.122519223051461	2.2505341607538285	0.6269466161947101	0.7987561743727194	86.83388392507139	-106.03461402557348	1.0	
82	-3545.080727559811	-3434.5821166209444	-110.49861093886645	-3434.5821166209444	153.40124082726615	694.0553806129385	1.5126219489971878E-4	0.122519223051461	2.2505341607538285	0.6269466161947101	0.122519223051461	2.2505341607538285	0.6269466161947101	0.7987561743727194	86.83388392507139	-106.03461402557348	1.0	
