Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
40	-6450.82243304502	-6341.395331773122	-109.42710127189793	-6341.395331773122	80.6550472144798	271.23240932828367	0.28246330321094504	0.2595084706932996	0.19962594245994109	0.2856297469612198	0.2552358398855392	0.4072663913791462	2.509743084245717	0.4072663913791462	0.08299052437513804	2.509743084245717	0.08299052437513804	0.0	4.201285202527934E-4	-70.0381066398336	3.929783681831002	5.0315634164668595	7.957738052958741	56.71774316852178	36.5857212896394	3.0	1.0	4.0	6.0	5.0	
41	-6450.82243304502	-6341.395331773122	-109.42710127189793	-6341.395331773122	80.6550472144798	271.23240932828367	0.28246330321094504	0.2595084706932996	0.19962594245994109	0.2856297469612198	0.2552358398855392	0.4072663913791462	2.509743084245717	0.4072663913791462	0.08299052437513804	2.509743084245717	0.08299052437513804	0.0	4.201285202527934E-4	-70.0381066398336	3.929783681831002	5.0315634164668595	7.957738052958741	56.71774316852178	36.5857212896394	3.0	1.0	4.0	6.0	5.0	
42	-6461.311817445346	-6341.300365579604	-120.0114518657415	-6341.300365579604	75.91459442160757	297.10425376533976	0.3666086442032374	0.2634225093041446	0.19211659257899946	0.28310602683615455	0.261354871280701	0.41303930068504263	2.491264011950482	0.41303930068504263	0.09569668736447628	2.491264011950482	0.09569668736447628	0.0	3.37474645522178E-4	-78.69307770937141	3.054374156014295	3.5396725647961014	24.07927943364331	30.854897701316837	79.21517562751254	2.0	4.0	2.0	5.0	6.0	
43	-6446.641113015432	-6340.962118253611	-105.6789947618211	-6340.962118253611	81.14251720219549	287.8293813450191	0.2540496555507013	0.2823138165232055	0.20806213716787633	0.2735581303262145	0.23606591598270327	0.4131673807216868	2.431859075703316	0.4131673807216868	0.1549735435749977	2.431859075703316	0.1549735435749977	0.0	3.3925404918925574E-4	-71.15693403235893	0.7767987498532443	2.5743533712820414	2.2433905047630045	10.97613931670235	27.847262580337315	3.0	2.0	1.0	4.0	9.0	
44	-6447.206185726156	-6340.792553946917	-106.41363177923891	-6340.792553946917	62.545356301462974	227.30351979361564	0.3786568929364857	0.2693330296897915	0.2025220759423057	0.27638975574860825	0.2517551386192942	0.3257544306568072	2.483216265759695	0.3257544306568072	0.19102930358349832	2.483216265759695	0.19102930358349832	0.0	4.288000188059637E-4	-67.11345211920369	1.7613972464526546	9.2290289610957	32.30400377437683	45.958821848412775	8.666569851120027	4.0	3.0	5.0	5.0	2.0	
45	-6451.62360806766	-6340.630514928643	-110.99309313901692	-6340.630514928643	62.56116395856352	233.05619695882024	0.3786568929364857	0.2693330296897915	0.2061693707521595	0.2727424609387545	0.2517551386192942	0.3257544306568072	2.5163185328671065	0.3257544306568072	0.15792703647608675	2.5163185328671065	0.15792703647608675	0.0	4.288000188059637E-4	-75.08239739135716	2.46833386721772	4.910935710711252	13.782665965282868	40.843575299412116	5.225687780414144	4.0	3.0	5.0	3.0	4.0	
46	-6451.62360806766	-6340.630514928643	-110.99309313901692	-6340.630514928643	62.56116395856352	233.05619695882024	0.3786568929364857	0.2693330296897915	0.2061693707521595	0.2727424609387545	0.2517551386192942	0.3257544306568072	2.5163185328671065	0.3257544306568072	0.15792703647608675	2.5163185328671065	0.15792703647608675	0.0	4.288000188059637E-4	-75.08239739135716	2.46833386721772	4.910935710711252	13.782665965282868	40.843575299412116	5.225687780414144	4.0	3.0	5.0	3.0	4.0	
47	-6461.527112070675	-6340.564493733413	-120.96261833726223	-6340.564493733413	85.14939890668155	313.8377725310488	0.3666805407195315	0.2658412060813776	0.20516618856557597	0.2782822017425316	0.2507104036105145	0.493762246409589	2.407394847106547	0.493762246409589	0.0988429064838641	2.407394847106547	0.0988429064838641	0.0	3.532633228431607E-4	-80.45383420345134	6.258645207247546	19.8468223364632	40.391621491038116	53.96947362690034	23.73751798830007	2.0	1.0	5.0	7.0	4.0	
48	-6448.424273601066	-6340.399616517882	-108.02465708318348	-6340.399616517882	75.47974780412318	279.50506607064284	0.31064300582967674	0.276094099298969	0.1822231296236959	0.275098414596536	0.2665843564807987	0.322225890626362	2.5345807972271315	0.322225890626362	0.1431933121465079	2.5345807972271315	0.1431933121465079	0.0	4.201285202527934E-4	-72.73215925118086	2.853154013486775	2.2124695384302098	6.372787553807824	24.86026416543541	36.33803010346812	2.0	2.0	3.0	5.0	7.0	
49	-6450.268050090123	-6340.373575373843	-109.89447471628057	-6340.373575373843	70.82384880018898	257.436452401568	0.32219914218216184	0.27236525516234694	0.1884536366586492	0.28593146288643384	0.2532496452925696	0.25302925264000053	2.6210140179492107	0.25302925264000053	0.12595672941079009	2.6210140179492107	0.12595672941079009	0.0	4.201285202527934E-4	-71.21828204785595	2.098745606492272	6.297262560114359	27.502102508317133	30.85720614100769	55.25665740150519	3.0	4.0	1.0	4.0	7.0	
