Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
258	-3493.9015212501317	-3435.0543032688347	-58.84721798129701	-3435.0543032688347	61.27578442220213	261.81543983399393	0.2094271297459766	2.3441985988632275	0.44637427139079533	0.2094271297459766	2.3441985988632275	0.44637427139079533	0.6343775987370216	0.1436991749722927	3.610549471118148E-4	1.9732804372978838E-9	0.12898218065059483	3.488366928632378E-4	39.30597536644135	-83.96673364366546	
259	-3506.085334848601	-3435.0518444290856	-71.03349041951543	-3435.0518444290856	69.10037243252398	344.86169646595516	0.12798494403059502	2.4462669137893407	0.42574814218006385	0.12798494403059502	2.4462669137893407	0.42574814218006385	0.6343775987370216	0.1542690362256419	3.3102688868488637E-4	2.3741157430802698E-9	0.15167298107525146	3.2399912812698504E-4	51.32254976850966	-91.55863807378033	
260	-3370.676991530711	-3435.048468909365	64.37147737865396	-3435.048468909365	48.70240629179326	217.6674438284155	0.09910415949148976	2.3386309621503405	0.5622648783581691	0.09910415949148976	2.3386309621503405	0.5622648783581691	0.7324695937213953	0.006300584328329294	4.067411720968819E-4	5.544434591359285E-12	0.005775105614580363	4.0733002730051175E-4	27.6893603517404	-80.577195883296	
261	-3444.170795092632	-3435.0440810729056	-9.126714019726693	-3435.0440810729056	98.41788585814143	410.9742276202096	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.7165393235170792	0.029296437503870718	2.400946806850969E-4	4.5370235149278546E-11	0.027973691801138515	2.397145160018871E-4	47.95479242860146	-93.3885735887681	
262	-3444.170795092632	-3435.0440810729056	-9.126714019726693	-3435.0440810729056	98.41788585814143	410.9742276202096	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.7165393235170792	0.029296437503870718	2.400946806850969E-4	4.5370235149278546E-11	0.027973691801138515	2.397145160018871E-4	47.95479242860146	-93.3885735887681	
263	-3444.170795092632	-3435.0440810729056	-9.126714019726693	-3435.0440810729056	98.41788585814143	410.9742276202096	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.12753189913063454	2.3280140184903058	0.5444540823790589	0.7165393235170792	0.029296437503870718	2.400946806850969E-4	4.5370235149278546E-11	0.027973691801138515	2.397145160018871E-4	47.95479242860146	-93.3885735887681	
264	-3389.485654076952	-3435.0421840721788	45.55652999522667	-3435.0421840721788	46.473456977552445	260.75937418375037	0.1782748889861767	2.4353865015784995	0.3863386094353225	0.1782748889861767	2.4353865015784995	0.3863386094353225	0.6747660695379623	0.007830728563928505	4.0687798735934157E-4	1.0022300114693425E-11	0.007780692689687011	4.0702579364292274E-4	44.84564625037718	-88.3434530592501	
265	-3389.485654076952	-3435.0421840721788	45.55652999522667	-3435.0421840721788	46.473456977552445	260.75937418375037	0.1782748889861767	2.4353865015784995	0.3863386094353225	0.1782748889861767	2.4353865015784995	0.3863386094353225	0.6747660695379623	0.007830728563928505	4.0687798735934157E-4	1.0022300114693425E-11	0.007780692689687011	4.0702579364292274E-4	44.84564625037718	-88.3434530592501	
266	-3414.5112117500307	-3435.042182920275	20.530971170244207	-3435.042182920275	70.2468478253895	347.90091982605884	0.19599442650197163	2.2936684107856617	0.5103371627123661	0.19599442650197163	2.2936684107856617	0.5103371627123661	0.7799081523191923	0.012002470922084665	2.914551107436943E-4	1.4187439882009732E-11	0.012813156153656623	2.93518059286286E-4	41.98955853601217	-94.13818107038158	
267	-3414.5112117500307	-3435.042182920275	20.530971170244207	-3435.042182920275	70.2468478253895	347.90091982605884	0.19599442650197163	2.2936684107856617	0.5103371627123661	0.19599442650197163	2.2936684107856617	0.5103371627123661	0.7799081523191923	0.012002470922084665	2.914551107436943E-4	1.4187439882009732E-11	0.012813156153656623	2.93518059286286E-4	41.98955853601217	-94.13818107038158	
