Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape	
240	-6439.604453155971	-6328.318407840086	-111.2860453158842	-6328.318407840086	218.56380459347153	821.3695786464248	1.4065055945023825E-4	0.2626373523868493	0.20296323007839387	0.27517222425044224	0.25922719328431476	0.43405258251855183	2.460142066925405	0.43405258251855183	0.10580535055604184	2.460142066925405	0.10580535055604184	0.0	0.8173412849605229	85.02325538114049	-106.22349707153796	0.6196234325562748	
241	-6441.79312562396	-6328.198100292209	-113.59502533175026	-6328.198100292209	239.59521909158954	921.5362409531044	1.4272317813251542E-4	0.26553016849628586	0.19629438005471844	0.27517222425044224	0.2630032271985536	0.4148157552312259	2.460142066925405	0.4148157552312259	0.1250421778433678	2.460142066925405	0.1250421778433678	0.0	0.8173412849605229	96.72546391791347	-108.40352520236237	0.6196234325562748	
242	-6440.329206413795	-6328.094550762747	-112.23465565104823	-6328.094550762747	244.19574490037036	878.1263506316433	1.4065055945023825E-4	0.24880749205009872	0.2007342511748128	0.2785858212331211	0.27187243554196755	0.43405258251855183	2.447984235804839	0.43405258251855183	0.11796318167660794	2.447984235804839	0.11796318167660794	0.0	0.8173412849605229	125.18863400562614	-106.97938396474638	0.4254500144595127	
243	-6441.306988702865	-6328.061846758365	-113.24514194449999	-6328.061846758365	210.18022130966904	846.1004125978591	1.2078435425043086E-4	0.2805629937981707	0.2032954782236775	0.2663740929586489	0.2497674350195032	0.377398507361086	2.497129654108022	0.377398507361086	0.12547183853089	2.497129654108022	0.12547183853089	0.0	1.096641205183331	138.94940714504546	-108.0117924970884	0.2992395579105311	
244	-6435.886819587876	-6328.000245829702	-107.88657375817391	-6328.000245829702	198.10946461380445	745.8804769649894	1.4272317813251542E-4	0.26297925012049034	0.1993099178595601	0.2806215190833261	0.2570893129366236	0.41758456498732704	2.398556300397103	0.41758456498732704	0.18385913461556863	2.398556300397103	0.18385913461556863	0.0	0.8173412849605229	62.484307867907646	-103.48681779578426	0.2648405112851514	
245	-6437.296347610016	-6327.979747634477	-109.31659997553884	-6327.979747634477	218.75212084957076	800.4622484507805	1.4272317813251542E-4	0.26297925012049034	0.1993099178595601	0.2806215190833261	0.2570893129366236	0.41758456498732704	2.4386070593655207	0.41758456498732704	0.143808375647151	2.4386070593655207	0.143808375647151	0.0	0.8173412849605229	69.31300622676373	-104.81312689562763	0.2648405112851514	
246	-6437.296347610016	-6327.979747634477	-109.31659997553884	-6327.979747634477	218.75212084957076	800.4622484507805	1.4272317813251542E-4	0.26297925012049034	0.1993099178595601	0.2806215190833261	0.2570893129366236	0.41758456498732704	2.4386070593655207	0.41758456498732704	0.143808375647151	2.4386070593655207	0.143808375647151	0.0	0.8173412849605229	69.31300622676373	-104.81312689562763	0.2648405112851514	
247	-6437.296347610016	-6327.979747634477	-109.31659997553884	-6327.979747634477	218.75212084957076	800.4622484507805	1.4272317813251542E-4	0.26297925012049034	0.1993099178595601	0.2806215190833261	0.2570893129366236	0.41758456498732704	2.4386070593655207	0.41758456498732704	0.143808375647151	2.4386070593655207	0.143808375647151	0.0	0.8173412849605229	69.31300622676373	-104.81312689562763	0.2648405112851514	
248	-6437.296347610016	-6327.979747634477	-109.31659997553884	-6327.979747634477	218.75212084957076	800.4622484507805	1.4272317813251542E-4	0.26297925012049034	0.1993099178595601	0.2806215190833261	0.2570893129366236	0.41758456498732704	2.4386070593655207	0.41758456498732704	0.143808375647151	2.4386070593655207	0.143808375647151	0.0	0.8173412849605229	69.31300622676373	-104.81312689562763	0.2648405112851514	
249	-6444.737610195399	-6327.974532778156	-116.76307741724338	-6327.974532778156	290.51739617406116	1106.528704244822	1.090282916604816E-4	0.25248241854170705	0.19804684266312425	0.2827702633889858	0.26670047540618314	0.4251066001113136	2.4272003904651425	0.4251066001113136	0.1476930094235424	2.4272003904651425	0.1476930094235424	0.0	0.8173412849605229	129.2453307340003	-111.72528424870777	0.1760807816487496	
250	-6444.737610195399	-6327.974532778156	-116.76307741724338	-6327.974532778156	290.51739617406116	1106.528704244822	1.090282916604816E-4	0.25248241854170705	0.19804684266312425	0.2827702633889858	0.26670047540618314	0.4251066001113136	2.4272003904651425	0.4251066001113136	0.1476930094235424	2.4272003904651425	0.1476930094235424	0.0	0.8173412849605229	129.2453307340003	-111.72528424870777	0.1760807816487496	
251	-6444.737610195399	-6327.974532778156	-116.76307741724338	-6327.974532778156	290.51739617406116	1106.528704244822	1.090282916604816E-4	0.25248241854170705	0.19804684266312425	0.2827702633889858	0.26670047540618314	0.4251066001113136	2.4272003904651425	0.4251066001113136	0.1476930094235424	2.4272003904651425	0.1476930094235424	0.0	0.8173412849605229	129.2453307340003	-111.72528424870777	0.1760807816487496	
252	-6443.185116895297	-6327.97452283902	-115.21059405627668	-6327.97452283902	276.2724145179897	1023.6648600922845	1.3634832656296678E-4	0.2703012767530717	0.20125721507449376	0.2853943415512539	0.24304716662118087	0.36893260335362427	2.496603137208221	0.36893260335362427	0.13446425943815354	2.496603137208221	0.13446425943815354	0.0	0.8173412849605229	136.71177480294824	-110.13766526414372	0.1550539160266143	
253	-6440.1790935854015	-6327.964729810033	-112.21436377536854	-6327.964729810033	220.73574598522538	850.9427100470989	1.4272317813251542E-4	0.26553016849628586	0.19629438005471844	0.27517222425044224	0.2630032271985536	0.4148157552312259	2.460142066925405	0.4148157552312259	0.1250421778433678	2.460142066925405	0.1250421778433678	0.0	0.8173412849605229	117.66520991676593	-107.03306572355577	0.4134546639350049	
254	-6440.1790935854015	-6327.964729810033	-112.21436377536854	-6327.964729810033	220.73574598522538	850.9427100470989	1.4272317813251542E-4	0.26553016849628586	0.19629438005471844	0.27517222425044224	0.2630032271985536	0.4148157552312259	2.460142066925405	0.4148157552312259	0.1250421778433678	2.460142066925405	0.1250421778433678	0.0	0.8173412849605229	117.66520991676593	-107.03306572355577	0.4134546639350049	
255	-6448.618626909346	-6327.951030645812	-120.6675962635336	-6327.951030645812	267.98028507422873	1127.004046835724	1.0316923602266089E-4	0.25793211626605644	0.19326470459925457	0.28672343795713945	0.2620797411775498	0.43907673373933465	2.4272003904651425	0.43907673373933465	0.13372287579552136	2.4272003904651425	0.13372287579552136	0.0	0.8173412849605229	188.77591064070705	-115.1134231159487	0.31361249395944174	
256	-6448.820487773821	-6327.932884400718	-120.88760337310337	-6327.932884400718	283.29541642836466	1249.7670787570162	8.951155483997701E-5	0.26316377166781024	0.1951350562990736	0.28677084324748253	0.2549303287856339	0.5068311711333161	2.356840835786836	0.5068311711333161	0.13632799307984672	2.356840835786836	0.13632799307984672	0.0	0.8173412849605229	169.47519811619762	-115.57881599913874	0.1760807816487496	
257	-6448.820487773821	-6327.932884400718	-120.88760337310337	-6327.932884400718	283.29541642836466	1249.7670787570162	8.951155483997701E-5	0.26316377166781024	0.1951350562990736	0.28677084324748253	0.2549303287856339	0.5068311711333161	2.356840835786836	0.5068311711333161	0.13632799307984672	2.356840835786836	0.13632799307984672	0.0	0.8173412849605229	169.47519811619762	-115.57881599913874	0.1760807816487496	
