Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
339	-3553.758654885939	-3427.239932152327	-126.51872273361194	-3427.239932152327	125.08572508233269	535.1621997104884	2.006288078980047E-4	0.12811421044302243	2.4515138455988876	0.42037194395808997	0.12811421044302243	2.4515138455988876	0.42037194395808997	0.7080927004716042	1.0401057309927553	-100.17168271066788	49.095298091067484	15.532845888097787	37.94200845910415	154.50822403834573	41.660171743995114	1.0	2.0	11.0	1.0	4.0	
340	-3534.5791392931424	-3427.235568813516	-107.34357047962679	-3427.235568813516	99.63455888901944	471.1949435434924	3.3893113359746626E-4	0.21115264367242725	2.228974447071323	0.5598729092562496	0.21115264367242725	2.228974447071323	0.5598729092562496	0.7080927004716042	0.6622526952161732	-79.59372949947529	6.35377076987229	25.46150319824986	122.52337558567632	238.93243854591034	41.26271947963171	8.0	1.0	1.0	5.0	4.0	
341	-3534.5791392931424	-3427.235568813516	-107.34357047962679	-3427.235568813516	99.63455888901944	471.1949435434924	3.3893113359746626E-4	0.21115264367242725	2.228974447071323	0.5598729092562496	0.21115264367242725	2.228974447071323	0.5598729092562496	0.7080927004716042	0.6622526952161732	-79.59372949947529	6.35377076987229	25.46150319824986	122.52337558567632	238.93243854591034	41.26271947963171	8.0	1.0	1.0	5.0	4.0	
342	-3527.5020732944768	-3427.2339745413296	-100.2680987531469	-3427.2339745413296	66.0938918607392	308.59870690516897	0.0014248821464480715	0.133079906161663	2.3407126142054984	0.5262074796328381	0.133079906161663	2.3407126142054984	0.5262074796328381	0.7080927004716042	0.2525073020840185	-77.76143567972838	7.993759312288628	48.1611326017408	78.64915375062373	24.12462211988441	8.160225796677397	8.0	4.0	3.0	1.0	3.0	
343	-3527.5020732944768	-3427.2339745413296	-100.2680987531469	-3427.2339745413296	66.0938918607392	308.59870690516897	0.0014248821464480715	0.133079906161663	2.3407126142054984	0.5262074796328381	0.133079906161663	2.3407126142054984	0.5262074796328381	0.7080927004716042	0.2525073020840185	-77.76143567972838	7.993759312288628	48.1611326017408	78.64915375062373	24.12462211988441	8.160225796677397	8.0	4.0	3.0	1.0	3.0	
344	-3545.7431299657783	-3427.2277141381683	-118.51541582761017	-3427.2277141381683	92.28482994020405	459.4146460168375	2.2159985731491261E-4	0.031548589535985785	2.299605007446023	0.6688464030179913	0.031548589535985785	2.299605007446023	0.6688464030179913	0.7080927004716042	0.9723712225855506	-93.12496888264616	27.35326688257541	83.08324961244047	123.50064850380372	69.30069833681901	16.717211648817223	9.0	4.0	1.0	2.0	3.0	
345	-3539.8914700050154	-3427.2006448172247	-112.69082518779061	-3427.2006448172247	66.17513904191432	344.21959581063436	2.006288078980047E-4	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.7080927004716042	1.3195728300654277	-88.02350244260039	20.27494764827493	11.161665373801453	47.00130212239479	91.9336123639229	79.98797781850462	2.0	2.0	9.0	5.0	1.0	
346	-3539.8914700050154	-3427.2006448172247	-112.69082518779061	-3427.2006448172247	66.17513904191432	344.21959581063436	2.006288078980047E-4	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.7080927004716042	1.3195728300654277	-88.02350244260039	20.27494764827493	11.161665373801453	47.00130212239479	91.9336123639229	79.98797781850462	2.0	2.0	9.0	5.0	1.0	
347	-3539.8914700050154	-3427.2006448172247	-112.69082518779061	-3427.2006448172247	66.17513904191432	344.21959581063436	2.006288078980047E-4	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.7080927004716042	1.3195728300654277	-88.02350244260039	20.27494764827493	11.161665373801453	47.00130212239479	91.9336123639229	79.98797781850462	2.0	2.0	9.0	5.0	1.0	
348	-3539.8914700050154	-3427.2006448172247	-112.69082518779061	-3427.2006448172247	66.17513904191432	344.21959581063436	2.006288078980047E-4	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.0702880452903623	2.4216437428470443	0.5080682118625931	0.7080927004716042	1.3195728300654277	-88.02350244260039	20.27494764827493	11.161665373801453	47.00130212239479	91.9336123639229	79.98797781850462	2.0	2.0	9.0	5.0	1.0	
